Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
2.780000,-0.396390,-0.396390,-0.687854,0.000000,0.000000,1.028461
2.790000,-0.403062,-0.403062,-0.646444,0.000000,0.000000,1.028461
2.800000,-0.409316,-0.409316,-0.604292,0.000000,0.000000,1.028461
2.810000,-0.415145,-0.415145,-0.561443,0.000000,0.000000,1.028461
2.820000,-0.420543,-0.420543,-0.517943,0.000000,0.000000,1.028461
2.830000,-0.425502,-0.425502,-0.473841,0.000000,0.000000,1.028461
2.840000,-0.430018,-0.430018,-0.429186,0.000000,0.000000,1.028461
2.850000,-0.434084,-0.434084,-0.384028,0.000000,0.000000,1.028461
2.860000,-0.437697,-0.437697,-0.338419,0.000000,0.000000,1.028461
2.870000,-0.440851,-0.440851,-0.292411,0.000000,0.000000,1.028461
2.880000,-0.443544,-0.443544,-0.246058,0.000000,0.000000,1.028461
2.890000,-0.445772,-0.445772,-0.199414,0.000000,0.000000,1.028461
2.900000,-0.447532,-0.447532,-0.152533,0.000000,0.000000,1.028461
2.910000,-0.448822,-0.448822,-0.105472,0.000000,0.000000,1.028461
2.920000,-0.449641,-0.449641,-0.058285,0.000000,0.000000,1.028461
2.930000,-0.449987,-0.449987,-0.011028,0.000000,0.000000,1.028461
2.940000,-0.449861,-0.449861,0.036241,0.000000,0.000000,1.028461
2.950000,-0.449262,-0.449262,0.083467,0.000000,0.000000,1.028461
2.960000,-0.448192,-0.448192,0.130595,0.000000,0.000000,1.028461
2.970000,-0.446651,-0.446651,0.177567,0.000000,0.000000,1.028461
2.980000,-0.444641,-0.444641,0.224328,0.000000,0.000000,1.028461
2.990000,-0.442165,-0.442165,0.270824,0.000000,0.000000,1.028461
3.000000,-0.439226,-0.439226,0.316999,0.000000,0.000000,1.028461
3.010000,-0.435827,-0.435827,0.362801,0.000000,0.000000,1.028461
3.020000,-0.431971,-0.431971,0.408176,0.000000,0.000000,1.028461
3.030000,-0.427665,-0.427665,0.453072,0.000000,0.000000,1.028461
3.040000,-0.422912,-0.422912,0.497438,0.000000,0.000000,1.028461
3.050000,-0.417718,-0.417718,0.541225,0.000000,0.000000,1.028461
3.060000,-0.412089,-0.412089,0.584383,0.000000,0.000000,1.028461
3.070000,-0.406033,-0.406033,0.626867,0.000000,0.000000,1.028461
3.080000,-0.399554,-0.399554,0.668629,0.000000,0.000000,1.028461
3.090000,-0.392663,-0.392663,0.709625,0.000000,0.000000,1.028461
3.100000,-0.385365,-0.385365,0.749812,0.000000,0.000000,1.028461
3.110000,-0.377669,-0.377669,0.789150,0.000000,0.000000,1.028461
3.120000,-0.369585,-0.369585,0.827597,0.000000,0.000000,1.028461
3.130000,-0.361120,-0.361120,0.865116,0.000000,0.000000,1.028461
3.140000,-0.352285,-0.352285,0.901671,0.000000,0.000000,1.028461
3.150000,-0.343090,-0.343090,0.937226,0.000000,0.000000,1.028461
3.160000,-0.333544,-0.333544,0.971748,0.000000,0.000000,1.028461
3.170000,-0.323659,-0.323659,1.005205,0.000000,0.000000,1.028461
3.180000,-0.313444,-0.313444,1.037568,0.000000,0.000000,1.028461
3.190000,-0.302911,-0.302911,1.068808,0.000000,0.000000,1.028461
3.200000,-0.292072,-0.292072,1.098899,0.000000,0.000000,1.028461
3.210000,-0.280937,-0.280937,1.127816,0.000000,0.000000,1.028461
3.220000,-0.269519,-0.269519,1.155534,0.000000,0.000000,1.028461
3.230000,-0.257830,-0.257830,1.182033,0.000000,0.000000,1.028461
3.240000,-0.245883,-0.245883,1.207291,0.000000,0.000000,1.028461
3.250000,-0.233689,-0.233689,1.231290,0.000000,0.000000,1.028461
3.260000,-0.221261,-0.221261,1.254011,0.000000,0.000000,1.028461
3.270000,-0.208613,-0.208613,1.275440,0.000000,0.000000,1.028461
3.280000,-0.195757,-0.195757,1.295560,0.000000,0.000000,1.028461
3.290000,-0.182706,-0.182706,1.314358,0.000000,0.000000,1.028461
3.300000,-0.169474,-0.169474,1.331822,0.000000,0.000000,1.028461
3.310000,-0.156074,-0.156074,1.347939,0.000000,0.000000,1.028461
3.320000,-0.142520,-0.142520,1.362701,0.000000,0.000000,1.028461
3.330000,-0.128825,-0.128825,1.376098,0.000000,0.000000,1.028461
3.340000,-0.115002,-0.115002,1.388121,0.000000,0.000000,1.028461
3.350000,-0.101067,-0.101067,1.398763,0.000000,0.000000,1.028461
3.360000,-0.087032,-0.087032,1.408019,0.000000,0.000000,1.028461
3.370000,-0.072911,-0.072911,1.415883,0.000000,0.000000,1.028461
3.380000,-0.058719,-0.058719,1.422350,0.000000,0.000000,1.028461
3.390000,-0.044469,-0.044469,1.427416,0.000000,0.000000,1.028461
3.400000,-0.030175,-0.030175,1.431080,0.000000,0.000000,1.028461
3.410000,-0.015852,-0.015852,1.433338,0.000000,0.000000,1.028461
3.420000,-0.001513,-0.001513,1.434190,0.000000,0.000000,1.028461
3.430000,0.012827,0.012827,1.433635,0.000000,0.000000,1.028461
3.440000,0.027155,0.027155,1.431673,0.000000,0.000000,1.028461
3.450000,0.041456,0.041456,1.428306,0.000000,0.000000,1.028461
3.460000,0.055716,0.055716,1.423535,0.000000,0.000000,1.028461
3.470000,0.069922,0.069922,1.417364,0.000000,0.000000,1.028461
3.480000,0.084059,0.084059,1.409794,0.000000,0.000000,1.028461
3.490000,0.098113,0.098113,1.400832,0.000000,0.000000,1.028461
3.500000,0.112071,0.112071,1.390482,0.000000,0.000000,1.028461
3.510000,0.125918,0.125918,1.378749,0.000000,0.000000,1.028461
3.520000,0.139641,0.139641,1.365642,0.000000,0.000000,1.028461
3.530000,0.153227,0.153227,1.351167,0.000000,0.000000,1.028461
3.540000,0.166660,0.166660,1.335335,0.000000,0.000000,1.028461
3.550000,0.179929,0.179929,1.318154,0.000000,0.000000,1.028461
3.560000,0.193019,0.193019,1.299637,0.000000,0.000000,1.028461
3.570000,0.205917,0.205917,1.279794,0.000000,0.000000,1.028461
3.580000,0.218610,0.218610,1.258641,0.000000,0.000000,1.028461
3.590000,0.231086,0.231086,1.236191,0.000000,0.000000,1.028461
3.600000,0.243330,0.243330,1.212460,0.000000,0.000000,1.028461
3.610000,0.255331,0.255331,1.187466,0.000000,0.000000,1.028461
3.620000,0.267075,0.267075,1.161228,0.000000,0.000000,1.028461
3.630000,0.278551,0.278551,1.133765,0.000000,0.000000,1.028461
3.640000,0.289746,0.289746,1.105099,0.000000,0.000000,1.028461
3.650000,0.300649,0.300649,1.075254,0.000000,0.000000,1.028461
3.660000,0.311248,0.311248,1.044254,0.000000,0.000000,1.028461
3.670000,0.321530,0.321530,1.012126,0.000000,0.000000,1.028461
3.680000,0.331486,0.331486,0.978897,0.000000,0.000000,1.028461
3.690000,0.341105,0.341105,0.944597,0.000000,0.000000,1.028461
3.700000,0.350375,0.350375,0.909258,0.000000,0.000000,1.028461
3.710000,0.359287,0.359287,0.872911,0.000000,0.000000,1.028461
3.720000,0.367830,0.367830,0.835592,0.000000,0.000000,1.028461
3.730000,0.375995,0.375995,0.797338,0.000000,0.000000,1.028461
3.740000,0.383774,0.383774,0.758185,0.000000,0.000000,1.028461
